ISO,Rank2021,FR_Country,Country,ES_country,Score A,Sco Exa,Score 2020,Progression RANK,Rank 2020,Score 2020,Zone,AR_country,FA_country
EST,15,Estonie,Estonia,Estonia,"15,25",0,"15,25",-1,14,"12,61",UE Balkans,???????,??????
ETH,101,?thiopie,Ethiopia,Etiop?a,"33,63","30,91","33,63",-2,99,"32,82",Afrique,???????,??????
FIN,2,Finlande,Finland,Finlandia,"6,99",0,"6,99",0,2,"7,93",UE Balkans,??????,??????
FJI,55,Fidji,Fiji,Fiyi,"27,92",0,"27,92",-3,52,"27,41",Asie-Pacifique,????,????
FRA,34,France,France,Francia,"17,89","41,9","22,6",0,34,"22,92",UE Balkans,?????,??????
GAB,117,Gabon,Gabon,Rep©«blica Gabonesa,"38,6",0,"38,6",4,121,"37,2",Afrique,???????,?????
GBR,33,Royaume-Uni,United Kingdom,Reino Unido,"21,65","13,86","21,59",2,35,"22,93",UE Balkans,??????? ???????,????????
GEO,60,G?orgie,Georgia,Georgia,"28,64",0,"28,64",0,60,"28,59",EEAC,??????,???????
GHA,30,Ghana,Ghana,Ghana,"21,33","17,92","21,33",0,30,"22,26",Afrique,????,???
GIN,109,Guin?e,Guinea,Guinea,"35,42","17,92","35,42",1,110,"34,34",Afrique,?????,????
GMB,85,Gambie,Gambia,Gambia,"30,76","6,93","30,76",2,87,"30,62",Afrique,??????,??????
GNB,95,Guin?e-Bissau,Guinea-Bissau,Guinea-Bis?u,"32,68",0,"32,68",-1,94,"32,06",Afrique,????? ?????,???? ??????
GNQ,164,Guin?e ?quatoriale,Equatorial Guinea,Guinea Ecuatorial,"55,67",0,"55,67",1,165,"56,38",Afrique,????? ??????????,???? ???????
GRC,70,Gr?ce,Greece,Grecia,"28,43","32,19","29,01",-5,65,"28,8",UE Balkans,???????,?????
GTM,116,Guatemala,Guatemala,Guatemala,"38,45","13,86","38,45",0,116,"35,74",Am?riques,?????????,????????
GUY,51,Guyana,Guyana,Guyana,"25,61",0,"25,61",-2,49,"26,63",Am?riques,??????,?????
HKG,80,Hong-Kong,Hong Kong,Hong Kong,"30,44","13,86","30,44",0,80,"30,01",Asie-Pacifique,???? ????,??? ???
HND,151,Honduras,Honduras,Honduras,"47,83","56,7","49,35",-3,148,"48,2",Am?riques,???????,???????
HRV,56,Croatie,Croatia,Croacia,"27,95",0,"27,95",3,59,"28,51",UE Balkans,???????,??????
HTI,87,Ha?ti,Haiti,Hait?,"31,12",0,"31,12",-4,83,"30,2",Am?riques,?????,??????
HUN,92,Hongrie,Hungary,Hungr?a,"31,76",0,"31,76",-3,89,"30,84",UE Balkans,?????,????????
IDN,113,Indon?sie,Indonesia,Indonesia,"37,4",0,"37,4",6,119,"36,82",Asie-Pacifique,?????????,???????
IND,142,Inde,India,India,"43,47","60,73","46,56",0,142,"45,33",Asie-Pacifique,?????,???
IRL,12,Irlande,Ireland,Irlanda,"11,91",0,"11,91",1,13,"12,6",UE Balkans,???????,??????
IRN,174,Iran,Islamic Republic of Iran,Ir?n,"70,11","67,39","72,7",-1,173,"64,81",MENA,?????,?????
IRQ,163,Irak,Iraq,Irak,"53,57","64,71","55,57",-1,162,"55,37",MENA,??????,????
ISL,16,Islande,Iceland,Islandia,"15,37",0,"15,37",-1,15,"15,12",UE Balkans,???????,??????
ISR,86,Isra?l,Israel,Israel,"27,78","44,07","30,9",2,88,"30,84",MENA,???????,???????
ITA,41,Italie,Italy,Italia,"22,63","27,73","23,39",0,41,"23,69",UE Balkans,???????,???????
JAM,7,Jama?que,Jamaica,Jamaica,"9,96",0,"9,96",-1,6,"10,51",Am?riques,???????,????????
JOR,129,Jordanie,Jordan,Jordania,"42,89","27,08","42,89",-1,128,"42,08",MENA,??????,????
JPN,67,Japon,Japan,Jap?n,"28,88",0,"28,88",-1,66,"28,86",Asie-Pacifique,???????,????
KAZ,155,Kazakhstan,Kazakhstan,Kazajist?n,"50,28","13,86","50,28",2,157,"54,11",EEAC,?????????,????????
KEN,102,Kenya,Kenya,Kenia,"33,65","20,79","33,65",1,103,"33,72",Afrique,?????,????
KGZ,79,Kirghizstan,Kyrgyzstan,Kirguist?n,"30,36","19,46","30,37",3,82,"30,19",EEAC,?????????,?????????
KHM,144,Cambodge,Cambodia,Camboya,"46,84","33,32","46,84",0,144,"45,46",Asie-Pacifique,???????,??????
KOR,42,Cor?e du Sud,South Korea,Corea del Sur,"23,43",0,"23,43",0,42,"23,7",Asie-Pacifique,????? ????????,??? ?????
KWT,105,Kowe?t,Kuwait,Kuwait,"34,36",0,"34,36",4,109,"34,3",MENA,??????,????
LAO,172,Laos,Lao People's Democratic Republic,Laos,"70,56","57,53","70,56",0,172,"64,28",Asie-Pacifique,????,?????
LBN,107,Liban,Lebanon,L?bano,"32,2","47,1","34,93",-5,102,"33,19",MENA,?????,?????
LBR,98,Liberia,Liberia,Liberia,"33,36","27,73","33,36",-3,95,"32,25",Afrique,???????,??????
LBY,165,Libye,Libya,Libia,"55,73","46,05","55,73",-1,164,"55,77",MENA,?????,????
LIE,23,Liechtenstein,Liechtenstein,Liechtenstein,"19,49",0,"19,49",1,24,"19,52",UE Balkans,??????????,????????????
LKA,127,Sri Lanka,Sri Lanka,Sri Lanka,"45,64","29,44","42,2",0,127,"41,94",Asie-Pacifique,??? ?????,????????
